#;Vendor ;Details;Term;"Purpose/
Statement";"Genre/
Research Methods";Concept;IT involved;Data Sources;"(Research)
Methods";Stakeholders;Goals;"Theoretical
Warrant(s)";Level of Analysis;Side effects;Theoretical instantiation/ link function;Comparison with our model;Comment
;;Author(s), year, name, journal, discipline of the document. For example, law, tech, HR/management, commercial;What term related to PA does the document emphasize or depict?;What is the general purpose of the document? What do the authors want to say or contribute with their document?;What is the genre of the paper and the applied method(s)? E.g. conceptual, opinion-piece, technical design-science, review, academic case study, business case study, survey descriptive report, sales/ads.;How do the authors define or understand the concept of PA?;Does the concept or the paper consider IT important to reach the goals?;Does the concept or the paper consider IT important to reach the goals?;Implying that PA implies a process or activity—what are the (research) methods used when performing PA (projects)?;Who is responsible for PA and drives the topic? What is the main outcome from using PA? What is the goal? For which purpose are organizations using PA?;;What underlying warrant, i.e. the logic, epistemological view, or theory, do the authors use or imply when talking about PA and its outcomes? For example—assuming that PA implies quantitative people data—how well can people data capture humans and lead to meaningful insights?;Which level of analysis does the document depict? Individual, group level or organizational level?;Areas addressed with an influence of or on the topic, e.g. ethics, privacy, surveillance, resistance/adoption, behavioral change and gaming the system.;For case studies—which theory do the authors use to derive hypotheses in a particular PA setting?;How does the document’s conception of PA relate to our proposed model?;Additional comments, interesting insights, criticism.
1;Admindroid;Website;No specific term;Sale/ Provide Information;Descriptive website;O365 Reporting (Not clear);Dashboard;O365 Data;Descriptive and visualised dashboard of metrics ;IT managers;Reduce IT spending;Not clear;Individual & Organizational;Data safety, secure data storage, ease of use;None;This is a vendor who proposes the use of reports to gather users' information and reduce IT spending, however does not mention how does it make it, or which methods do they use. ;"From the search with keywords only there are results with ""Workforce Analytics""

jh: comprehensive reporting, measures all tools of O365, and link to AD data (e.g. location, department, country, job title)"
2;Ascendify;Website;Talent Management;Sale/ Provide Information;Descriptive website;Not clear;Platform itself;Not clear;Machine Learning  & Predictive analytics;HR teams & Hiring Managers;Identification, Development, Awareness, Retaining of Employees (capabilities);Not clear;Individual & Group;Security & compliance;None;"This vendor uses the term ""people management"" and proposes the use of predictive analytics and machine learning to make decisions and bring benefits to the organizations. ";There are no documents or files to download in order to find more information
3;Cognitive Talent Solutions;Website;Organizational Network Analysis ;Describe ONA Cases;Descriptive website;Visualisation & Analysis of Employee Relationships;Platform itself;Surveys & CACS Logs;Social Network Analysis;Not clear;Identify & Manage Informal Leaders and Knowledge Flows;Not clear;Individual & Group & Organizational;Privacy & GDPR;Social Network Analysis;This vendor considers SNA and proposes a term called ONA to analyze employees' interactions and further enhance their leadership skills. ;"In the 'Meet the team' section, can be found people with experience in business analytics and predictive analytics, among others
Besides, they cite recent research (to a blog called AIHR: Analytics in HR) about how to rethink change with the 3% rule: Why organizational network analysis and people analytics are the ingredients for successful change initiatives
https://www.analyticsinhr.com/blog/rethink-change-three-percent-rule/
14/05/2019 



jh: analyse and visualise informal network to manage generation, sharing and retention of knowledge and to identify influencers. Data sources are survey, and various social systems, e.g. outlook,O365,gmail,github,jira;; GDPR addressed"
4;Crunchr;Website;People Analytics;Sale/ Provide Information;Descriptive Website;Analytics to gain people insights that drive better workforce decisions.;Platform Itself & Dashboard;Talent data from multiple systems (core HR, payroll, performance, engagement, absenteeism);;;;;;;;;
5;Connected Commons;Website;Collaborative Analytics ;Inform about Research and Membership;Descriptive Website;Not clear;Not clear;Not clear;Trend Analysis, Visualizations, AI, Reporting;HR Professionals & Business Leaders;Better people decisions, e.g. reduce turnover, meet diversity goals, optimize spans & layers;Not clear;Individual & Group & Organizational;None;None;;Information was provided by representative of crunchr
6;Cultivate AI;Website;Leadership Development;Sale/ Provide Information;Descriptive website;People Analytics offers insights into Leadership Skills;Platform itself;CACS Logs;Leaderships Metrics;Managers ;Improve managers' leadership;Not clear;Individual;Security & Privacy, GDPR;None;This  vendors do not provide a clear definition of PA. Regarding side effects, they consider security, privacy and compliance. ;"In the about section they mention that they consider academic research into their product.

18/05/2019
https://trycultivate.com/about

jh: People Analytics on Leaders"
7;Domo;Website;Business Intelligence;Sale/ Provide Information;Descriptive website;Business Intelligence can be used for People Analytics;Platform itself;Custom Connectors;Machine Learning & Descriptive;Data Science Experts & Business Users;Save time with prebuilt dasboards;Not clear;Individual & Group & Organizational;Security & Privacy ;None;"This is a vendor who offers solutions for different industries. They indicate that their platform is able to integrate 7 different systems to analyze the infomration and provide insights; however is more commercial and does not provide insights about PA.";"This is a complex vendor whit a product to different industries however does not emphasize the importance of people analytics, 

jh: Domo is a complete BI solution, which integrates any data source from any domain
and load-transforms it in realtime into a central data warehouse and provides descriptive reporting as well as predictive analytics.
It provides rights management and multiple users, complies with GDPR and provides data governance, security and privacy.
Predictive analytics incl. links to python and R allow inferences to be made from the data, but also provides graphical user interface.
customizable with connectors for import and export of data
focus is not on people analytics, but all functions in the organizations, it is a general platform.
Therefore People Analytics can be implemented, but not primary concern. example connector is Taleo (HRM solution) or SAP.
"
8;Glint Inc;Website;Employee Engagement;Sale/ Provide Information;Descriptive website;Engagement as part of People Analytics;Platform itself;Pulse Surveys;Visualisation & Analysis of Pulse Surveys;HR teams;Employee engagement, people learning, onboarding process, team effectiveness;Not clear;Individual & Group;None;None;This vendor do not mention security, privacy issues that may emerge for the data management.;They indicate they have a team of people science experts that work directly with the product team.
9;GSX 365;Website;Technical Monitoring;Sale/ Provide Information;Descriptive website;Technical Monitoring;Dashboard;"Sensors (""robots"")";"Sensors deployed to each location that access endpoints and simulate user activity; then visualise & analyse results";IT managers & System Admins;Anticipate and decrease technical performance issues (latency, uptime, routing) and reduce time2repair;Not clear;Technical components;None;None;This is a more technical tool. Which monitors the behavior of the tools (skype for business, Yammer, office 365 in general) to detect issues before those can affect employees.;"technical tool;

maybe we should skip this? It is unrelated to people analytics, except it connects to O365"
