#;Consultancies;;Term;"Purpose/
Statement";"Genre/
Research Methods";IT involved;"
Data Sources";"(Research)
Methods";Stakeholder/Driver;"Outcomes/Goals
Contributions";"Theoretical
Warrant(s)";Level of analysis;Side effects;Theoretical instanciation/ link function;
1;Deloitte;1;"People Analytics; Workforce Analytics; HR Analytics";Overview;Descriptive report & advertisement;Not clear;Company social & functional data;Data aggregation, cleansing, run analytics, craft action plan, use intuitive self-service gateway, segment employees;Not mentioned;"employee development
social factors
support decisions
operational improvement
cost saving";implied value of metrics;individual ;Not mentioned;Performance, engagement, less turnover;
2;;2;People Analytics ;Relevance;Descriptive report ;SAP, Oracle,  retention models;"Process data
";Predictive analytics, AI_video interviews;C-level, PA team multidisciplinary, at senior level, translate info ;"
operational improvement, talent management, workforce planning, efficiency, retention, ";implied value of metrics;individual ;Data quality ;Performance, compliance, retention;
3;;3;People Analytics ;risk, side effects;Descriptive report ;not mentioned;Social media, surveys, company social data, process data, company functional data;Advanced analytics;IT, HR, legal and senior management;decision support, workforce planning, talent management, operational improvement;implied value of metrics;individual;Ethics: data security, transparency;Performance, knowledge management, leaders;
4;;4;People Analytics ;Case study;Descriptive report ;not mentioned;Not mentioned;Advanced statistics, analytics;C-level, pa-team at senior level, multidisciplinary;"leadership development, social factors, decision support, workforce planning, efficiency

";implied value of metrics;individual;"Strategic approach, 
data privacy";Not mentioned;
5;;5;People Analytics ;current state ;Descriptive report ;Embedded in other systems;Process data on efficiency, survey, social media, company social data;Off-the-shelf-software, text and semantic analysis tools;PA team, multidisciplinary;financial issues, decision support, efficiency, social factors, ;implied value of metrics;individual ;Focus on problem and related data selection & privacy, security;Performance, compliance, retention;
6;;6;People Analytics ;Current state;Descriptive report ;Visualization;"Process data
";Predictive analytics, off-the-shelf-software;HR, IT, multidisciplinary, cloud platforms;employee development, efficiency, compliance;implied value of metrics;individual;Not mentioned;Not mentioned;
7;;7;People Analytics ;"

Current state, challenges";Descriptive report ;Visualization;"Company social data, private data
";Organizational network analysis, interaction analytics, SNA, analytics;PA team at senior level, HR as strategic adviser;"talent management, financial issue, efficiency, workforce planning,
operational improvement, employee development, social factors, support decisions";implied value of metrics;individual;Ethics: cultural change;Not mentioned;
8;;8;"People Analytics, 
HR Cloud";"Overview, Current State
";Descriptive report ;Visualization, cloud;Not mentioned;Analytics, sentiment analysis, ai;Not mentioned;operational improvement, employee development, social equity, talent management, efficiency, social factors;implied value of metrics;individual;Functionality behind expectations;Not mentioned;
9;;9;HR Analytics;Overview;Descriptive report ;not mentioned;Process Data;Not mentioned;PA team multidisciplinary ;efficiency, workforce planning;implied value of metrics;individual ;"Skill gap, Data integrity and security, 
cultural change";Not mentioned;
10;;10;HR metrics;Introduction;Descriptive report ;Visualization;"Not clear
";Predictive analytics;HR-leaders and c-level ;efficiency, support decisions, financial aspects, operational improvement, workforce planning, talent management, employee satisfaction, align HR to overall business strategy;implied value of metrics;individual ;Data quality, skill gap;None (maturity model);
